Region/Province/City/Municipality/Legislative/Provincial District,Number of Established Precincts,Number of Clustered Precincts,Number of Registered Voters,Number of Voters Who Actually Voted,Voters' Turnout (%)
PHILIPPINES,412874,106174,65745526,55290821,84.10 
NCR,47337,10538,7322361,5962693,81.43
City of Manila,7973,1859,1133042,886133,78.21
1st Legislative District,1627,401,264362,208103,78.72
2nd Legislative District,1131,246,152929,120987,79.11
3rd Legislative District,1237,274,164664,115614,70.21
4th Legislative District,1310,288,162767,132964,81.69
5th Legislative District,1563,365,217787,175386,80.53
6th Legislative District,1105,285,170533,133079,78.04
Quezon City,8598,1960,1403895,1138511,81.10 
1st Legislative District,1410,317,224351,174235,77.66
2nd Legislative District,1751,430,309300,255263,82.53
3rd Legislative District,1133,234,161366,135482,83.96
4th Legislative District,1575,303,210720,176961,83.98
5th Legislative District,1415,351,264130,219369,83.05
6th Legislative District,1314,325,234028,177201,75.72
City of Caloocan,4538,1024,700279,582521,83.18
1st Legislative District,2234,499,342766,285861,83.40 
2nd Legislative District,1622,353,233294,190967,81.86
3rd Legislative District,682,172,124219,105693,85.09
City of Makati,3309,615,458362,375103,81.84
1st Legislative District,1628,281,209859,171281,81.62
2nd Legislative District,1681,334,248503,203822,82.02
City of Marikina,1813,365,260749,229267,87.93
1st Legislative District,823,162,114298,99474,87.03
2nd Legislative District,990,203,146451,129793,88.63
City of Para簽aque,2038,480,346078,285438,82.48
1st Legislative District,858,196,142815,113537,79.50 
2nd Legislative District,1180,284,203263,171901,84.57
City of Pasig,2898,612,457370,389419,85.14
1st Councilor District,1264,244,182129,155143,85.18
2nd Councilor District,1634,368,275241,234276,85.12
City of Valenzuela,2603,609,443611,363995,82.05
1st Legislative District,1122,269,199294,170741,85.67
2nd Legislative District,1481,340,244317,193254,79.10 
Pasay City,2098,458,276579,221411,80.05
1st Councilor District,1148,227,139978,111016,79.31
2nd Councilor District,950,231,136601,110395,80.82
City of Las Pi簽as,2054,404,291074,242024,83.15
City of Mandaluyong,1495,322,232492,184423,79.32
City of Muntinlupa,2051,432,311750,252396,80.96
City of Malabon,1400,355,258115,196218,76.02
